,ZS_name,name,formatted_address,location,rating,user_ratings_total,formatted_phone_number
0,Repre restaurant,Repre Restaurant,"857, Nekázanka 4, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0854596, 'lng': 14.4273116}",4.0,789.0,222 211 451
1,Restaurace Nad Ledem,Restaurace Nad Ledem,"10b, Vladivostocká 1460, Vršovice, 100 00 Praha-Praha 10, Czechia","{'lat': 50.0689274, 'lng': 14.4791565}",4.4,369.0,728 464 824
2,SRI LANKAN CURRY HOUSE,,,,,,
3,Restaurace HOOTERS Vodičkova,"Na Zdraví Ventures, a.s.","18, Štěrková 1003, 153 00 Praha 16, Czechia","{'lat': 49.9901585, 'lng': 14.3661303}",,,602 799 222
4,1. MEXICKÁ RESTAURACE,Cantina,"Újezd 38, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.08291369999999, 'lng': 14.404606}",4.5,2288.0,257 317 173
5,A.H.W. a.s.,A.H.W. a.s.,"11, Na Srpečku 421, 152 00 Praha 5, Czechia","{'lat': 50.03731799999999, 'lng': 14.396561}",,,251 511 913
6,Abri s.r.o.,,,,,,
7,ABSOLUT s.r.o.,Absolut S.r.o.,"Žampiónová 25, 104 00 Praha 22, Czechia","{'lat': 50.0192465, 'lng': 14.5821912}",,,267 312 446
8,ADAMOVÁ IVA,,,,,,
9,"Adeta Service, s.r.o.",,,,,,
10,Adiscon Kampa s.r.o.,,,,,,
11,ADMIRÁL - RESTAURACE,,,,,,
12,"Aftermath, s.r.o.",,,,,,
13,AGIOS s.r.o.,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
14,AGUATERRA s.r.o.,Zuzana Křížová,"18, Za Zelenou liškou 477, 140 00 Praha 4-Krč, Czechia","{'lat': 50.0471478, 'lng': 14.4451474}",,,220 516 652
15,AIKYO FOODS CZECH,,,,,,
16,"Air Pizza, s.r.o.",,,,,,
17,"Aishel, s.r.o.","Aishel, s.r.o.","6, U Milosrdných 849, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0917035, 'lng': 14.421142}",,,221 665 141
18,Al Karim,Al Karim,"Jindřišská 11, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0836854, 'lng': 14.4275997}",4.4,559.0,224 267 081
19,Al-Mare Těšnov s. r. o.,,,,,,
20,ALBIO,,,,,,
21,ALDEN,,,,,,
