,name,address,district,ratings,review_count,opening_hours,opening_hours_span,email_address,phones,web_page,payment_methods,products,services,marks,coordinates
0,Repre restaurant,"Nekázanka 4/857, 110 00 Praha 1-Nové Město",Praha 1,0.0,0,"{'Po': '10:30 - 23', 'Út': '10:30 - 23', 'St': '10:30 - 23', 'Čt': '10:30 - 23', 'Pá': '10:30 - 23', 'So': '12 - 23', 'Ne': None}","{'Po': 12.5, 'Út': 12.5, 'St': 12.5, 'Čt': 12.5, 'Pá': 12.5, 'So': 11.0, 'Ne': None}",rezervace@repre-restaurant.cz,{'Restaurace Praha 1': '+420 222 211 451'},http://www.repre-restaurant.cz,"['faktura', 'hotově', 'VISA', 'MASTERCARD', 'CHEQUEDEJEUNER', 'TICKETRESTAURANT', 'SODEXO', 'American Express']",['taneční parket'],"['česká kuchyně', 'mezinárodní kuchyně', 'nekuřácký prostor']","['salónek', 'klimatizace', 'bezbariérový přístup']","{'latitude': 50.08553, 'longitude': 14.42718}"
1,Restaurace Nad Ledem,"Vladivostocká 1460/10, 100 00 Praha 10-Vršovice",Praha 10,100.0,1,"{'Po': '10 - 23', 'Út': '10 - 23', 'St': '10 - 23', 'Čt': '10 - 23', 'Pá': '10 - 23', 'So': '10 - 23', 'Ne': '10 - 23'}","{'Po': 13.0, 'Út': 13.0, 'St': 13.0, 'Čt': 13.0, 'Pá': 13.0, 'So': 13.0, 'Ne': 13.0}",nadledem@seznam.cz,{'Restaurace Praha 10': '+420 728 464 824'},https://restauracenadledem.cz/,"['hotově', 'faktura', 'MASTERCARD', 'VISA']","['Denní menu', 'Pivo z tanku', 'Točené limonády', 'Nealko pivo']","['Restaurace', 'Bezbariérový vstup', 'Letní zahrádka', 'Nekuřácká část', 'Parkoviště', 'Wi-Fi']","['Kofola', 'Birell', 'Pilsner Urquell']","{'latitude': 50.068558, 'longitude': 14.4777165}"
2,SRI LANKAN CURRY HOUSE,"U vodárny 10/898, 130 00 Praha 3-Vinohrady",Praha 3,100.0,1,"{'Po': '11 - 22', 'Út': '11 - 22', 'St': '11 - 22', 'Čt': '11 - 22', 'Pá': '11 - 22', 'So': '11 - 22', 'Ne': None}","{'Po': 11.0, 'Út': 11.0, 'St': 11.0, 'Čt': 11.0, 'Pá': 11.0, 'So': 11.0, 'Ne': None}",srilankancurryhouse@gmail.com,{'hlavní telefon': '+420 603 118 707'},https://srilankanrestaurant.cz/,"['hotově', 'faktura', 'VISA', 'MASTERCARD']","['polévky', 'předkrmy', 'zeleninové kari', 'pikantní zelenina z woku', 'kuře', 'plody moře', 'Biryani', 'Kottu roty', 'rýže', 'nudle', 'Roty', 'saláty', 'dezerty']",['restaurace'],,"{'latitude': 50.07646, 'longitude': 14.44919}"
3,Restaurace HOOTERS Vodičkova,"Vodičkova 5/12, 120 00 Praha 2-Nové Město",Praha 2,0.0,0,"{'Po': '11 - 23', 'Út': '11 - 23', 'St': '11 - 23', 'Čt': '11 - 23:59', 'Pá': ['0 - 1', '11 - 23:59'], 'So': ['0 - 1', '11 - 23:59'], 'Ne': ['0 - 1', '11 - 23']}","{'Po': 12.0, 'Út': 12.0, 'St': 12.0, 'Čt': 12.98, 'Pá': 13.98, 'So': 13.98, 'Ne': 13.0}",vodickova@hooters.cz,{'Rezervace': '+420 602 799 222'},http://hooters.cz/cz/vodickova?utm_source=Mext&utm_campaign=Svoboda&utm_medium=online-portaly,"['American Express', 'VISA', 'hotově', 'faktura', 'SODEXO', 'MASTERCARD']","['předkrmy', 'polévky', 'quesadillas', 'burgery', 'přílohy', 'dezerty', 'místní speciality', 'světově proslulá kuřecí křídla', 'mořské plody', 'čerstvé saláty', 'sendviče', 'koktejly']","['restaurace', 'sportovní přenosy', 'rozlučky se svobodou', 'narozeniny', 'firemní eventy', 'catering', 'hostesky']","['HOOTERS', 'Pilsner Urquell', 'Coca Cola']","{'latitude': 50.078701, 'longitude': 14.421425}"
4,1. MEXICKÁ RESTAURACE,"Újezd 38/430, 118 00 Praha 1-Malá Strana",Praha 1,89.0,2,"{'Po': '11:30 - 23:59', 'Út': '11:30 - 23:59', 'St': '11:30 - 23:59', 'Čt': '11:30 - 23:59', 'Pá': '11:30 - 23:59', 'So': '11:30 - 23:59', 'Ne': '11:30 - 23:59'}","{'Po': 12.48, 'Út': 12.48, 'St': 12.48, 'Čt': 12.48, 'Pá': 12.48, 'So': 12.48, 'Ne': 12.48}",,{'hlavní telefon': '+420 257 317 173'},,['hotově'],,,,"{'latitude': 50.08294, 'longitude': 14.40461}"
5,A.H.W. a.s.,"Na srpečku 11/421, 152 00 Praha 5-Hlubočepy",Praha 5,0.0,0,,,,"{'hlavní telefon': '+420 251 511 913', 'další telefon': '+420 251 511 917'}",,,,,,"{'latitude': 50.03731, 'longitude': 14.39656}"
6,Abri s.r.o.,"Jana Masaryka 36/326, 120 00 Praha 2-Vinohrady",Praha 2,0.0,0,,,abrisushi@abrisushi.cz,"{'hlavní telefon': '+420 603 175 028', 'další telefon': '+420 731 181 565'}",http://www.abrisushi.cz,['hotově'],,,,"{'latitude': 50.071769, 'longitude': 14.439459}"
7,ABSOLUT s.r.o.,"Žampiónová 25, 104 00 Praha 22-Pitkovice",Praha 10,0.0,0,,,,"{'hlavní telefon': '+420 267 710 691', 'další telefon': '+420 267 710 089'}",,,,,,"{'latitude': 50.019236, 'longitude': 14.582179}"
8,ADAMOVÁ IVA,"Zátišská 4/801, 143 00 Praha 12-Modřany",Praha 4,0.0,0,,,,"{'hlavní telefon': '+420 244 403 985', 'další telefon': '+420 244 403 986'}",,,,,,"{'latitude': 50.014497, 'longitude': 14.410506}"
9,"Adeta Service, s.r.o.","Koněvova 190/2393, 130 00 Praha 3-Žižkov",Praha 3,0.0,0,,,,"{'hlavní telefon': '+420 222 319 410', 'další telefon': '+420 224 811 876'}",http://www.siamorchid.cz,,,,,"{'latitude': 50.092098, 'longitude': 14.482042}"
10,Adiscon Kampa s.r.o.,"Újezd 40/450, 118 00 Praha 1-Malá Strana",Praha 1,0.0,0,,,,{'hlavní telefon': '+420 257 311 837'},,,,,,"{'latitude': 50.083397, 'longitude': 14.404644}"
11,ADMIRÁL - RESTAURACE,"Hořejší nábřeží, 150 00 Praha 5-Smíchov",Praha 5,0.0,0,,,,"{'hlavní telefon': '+420 242 499 614', 'další telefon': '+420 257 321 302', 'FAX': '+420 257 319 516'}",,,,,,"{'latitude': 50.066907, 'longitude': 14.410464}"
12,"Aftermath, s.r.o.","Bílkova 869/12, 110 00 Praha 1-Staré Město",Praha 1,0.0,0,,,info@bissli.cz,"{'hlavní telefon': '+420 222 244 000', 'další telefon': '+420 222 243 000'}",http://www.bissli.cz,,,,,"{'latitude': 50.0910052, 'longitude': 14.4210032}"
13,AGIOS s.r.o.,"Na Bendovce 16/236, 181 00 Praha 8-Bohnice",Praha 8,0.0,0,,,,{'hlavní telefon': '+420 233 552 581'},,,,,,"{'latitude': 50.132293, 'longitude': 14.414308}"
14,AGUATERRA s.r.o.,"Strahovské nádvoří 1/132, 118 00 Praha 1-Hradčany",Praha 1,0.0,0,,,info@peklo.com,{'hlavní telefon': '+420 220 516 652'},http://www.peklo.com,,,,,"{'latitude': 50.086116, 'longitude': 14.388774}"
15,AIKYO FOODS CZECH,"Stroupežnického 23/3181, 150 00 Praha 5-Smíchov",Praha 5,0.0,0,,,,{'hlavní telefon': '+420 251 511 723'},,,,,,"{'latitude': 50.071079, 'longitude': 14.402473}"
